date,open,high,low,close,volume,key,ticker,market,label
2022-01-03,173.85318194367048,178.7902515625947,173.73587028238754,177.939697265625,104487900,AAPL,AAPL,US,애플
2022-01-04,178.54586564233023,178.84893075193062,175.1143499260673,175.68138122558594,99310400,AAPL,AAPL,US,애플
2022-01-05,175.5934373990841,176.14091190448147,170.73457878734038,171.00831604003906,94537600,AAPL,AAPL,US,애플
2022-01-06,168.83789205056922,171.37975399378487,167.80159930862231,168.15354919433594,96904000,AAPL,AAPL,US,애플
2022-01-07,169.02367835082143,170.24572473108867,167.2052727402814,168.3197784423828,86709100,AAPL,AAPL,US,애플
2022-01-10,165.29890311477462,168.6424206204467,164.40924966346105,168.33935546875,106765600,AAPL,AAPL,US,애플
2022-01-11,168.46643037323963,171.26245812752686,166.99997473942338,171.16470336914062,76138300,AAPL,AAPL,US,애플
2022-01-12,172.1814317936139,173.21772467571947,170.91051556767007,171.60462951660156,74805200,AAPL,AAPL,US,애플
2022-01-13,171.84906951188285,172.6702811972984,167.9482916298187,168.33935546875,84505800,AAPL,AAPL,US,애플
2022-01-14,167.5083685317949,169.89380588973404,167.26395921098248,169.19969177246094,80440800,AAPL,AAPL,US,애플
2022-01-18,167.67452813175186,168.6814931182034,165.6214992398613,166.00277709960938,90956700,AAPL,AAPL,US,애플
2022-01-19,166.19829964047344,167.25414945182573,162.22909557704548,162.51260375976562,94815000,AAPL,AAPL,US,애플
2022-01-20,163.24581922868165,165.8854360990158,160.50843269303434,160.8310546875,91420500,AAPL,AAPL,US,애플
2022-01-21,160.74309086318223,162.6103813121943,158.67050497614542,158.77804565429688,122848900,AAPL,AAPL,US,애플
2022-01-24,156.44148123567246,158.67049246380245,151.2404450916643,158.0056915283203,162294600,AAPL,AAPL,US,애플
2022-01-25,155.4247355135648,159.1202024043847,153.5085752311325,156.20684814453125,115798400,AAPL,AAPL,US,애플
2022-01-26,159.84366081362626,160.7137572085088,154.29068942101793,156.11886596679688,108275300,AAPL,AAPL,US,애플
2022-01-27,158.817126094803,160.17604091465265,154.7403816352541,155.65936279296875,121954600,AAPL,AAPL,US,애플
